sender,receiver,sign
FloodProtT,SpatPlanA,-
FarmingA,LackCompArD,-
LackCompArD,CompAgrD,+
FishPassI,DistFishD,+
FloodImpD,ProtSpecT,-
CoopMuniA,DrinkWatA,-
FloodProtT,FloodPressC,-
FarmingA,IncrExtensC,-
FloodImpD,NutrInpD,+
HabDegD,RecValueT,+
CoopMuniA,RevitFloodA,+
CoopMuniA,IntCanCoopI,+
BeaverAcD,HabDegD,+
OpHPPA,LackRivDynD,-
RevitFloodA,ShrAquHaD,+
BiodivProtA,HabDegD,+
CompAgrD,FloodProtT,-
HabDegD,ExtLandT,+
IncrExtensC,UpkCapD,-
ShrAquHaD,ProtSpecT,+
FloodImpD,WaterQualD,-
MesFloPreA,ShrAquHaD,-
CorUpkeeI,UpkCapD,+
LessMarketLittI,UpkCapD,+
CompAgrD,ShrAquHaD,-
RangerA,AwarePopI,+
ShrAquHaD,LackRivDynD,+
NutrInpD,ExtLandT,-
CorUpkeeI,WaterWithdD,-
HerbPestD,ExtLandT,-
FarmingA,NutrInpD,+
ClimChI,InvasSpecD,+
IntCanCoopI,FloodProtT,+
PopGrowI,VisiPresD,+
RangerA,InvasSpecD,-
BoarDeerD,ExtLandT,-
FisheryA,IncrInterestC,+
VisiPresD,HabDegD,-
ClimChI,WaterWithdD,+
ShrAquHaD,RecValueT,+
PlanMotorwayA,LackCompArD,+
WWTPA,LackCompArD,-
IncrInterestC,AwarePopI,+
FloodPressC,RevitFloodA,""
AwarePopI,PolSuportI,+
RevitFloodA,FloodImpD,-
HabDegD,ProtSpecT,+
SpatPlanA,CompAgrD,""
ClimChI,FloodPressC,+
CoopMuniA,SignEntA,+
BoarManagA,BoarDeerD,-
PlanCycleA,SignEntA,+
PolSuportI,BiodivProtA,+
PopularI,VisiPresD,+
WaterWithdD,ConsBogT,-
InvasSpecD,ProtSpecT,-
CoopMuniA,AwarePopI,+
FloodImpD,ConsBogT,-
DrinkWatA,WaterWithdD,+
RangerA,PopularI,+
NutrInpD,ConsBogT,-
FloodImpD,WWTPA,-
OpHPPA,FishPassI,-
CorUpkeeI,LackCompArD,+
UpkCapD,ConsBogT,+
SpatPlanA,WWTPA,""
OpHPPA,FloodImpD,-
CorUpkeeI,HerbPestD,-
CompAgrD,ExtLandT,-
NutrInpD,InvasSpecD,""
WWTPA,WaterQualD,+
BiodivProtA,ShrAquHaD,+
LackRivDynD,ProtSpecT,""
RangerA,VisiPresD,-
VisiPresD,RecValueT,-
IncrInterestC,PopularI,+
PopularI,PolSuportI,+
RecValueT,PopularI,+
HerbPestD,ProtSpecT,-
AwarePopI,ExtLandT,+
RevitFloodA,LackCompArD,+
BeavManagA,BeaverAcD,-
BoarDeerD,ProtSpecT,-
CorUpkeeI,ConsBogT,+
FisheryA,VisiPresD,+
PlanMotorwayA,CompAgrD,+
LackCompArD,ShrAquHaD,+
EnvEducA,IncrInterestC,+
IncrExtensC,HerbPestD,-
WaterQualD,ProtSpecT,+
UpkCapD,LackCompArD,+
FloodImpD,FloodProtT,-
SignEntA,VisiPresD,-
ClimChI,FloodImpD,+
ConsBogT,DrinkWatA,-
ShrAquHaD,FloodProtT,+
HabDegD,ConsBogT,+
BeaverAcD,FloodProtT,-
BiodivProtA,IncrExtensC,+
CompAreasA,LackCompArD,+
VisiPresD,ConsBogT,-
MesFloPreA,FloodImpD,-
SpatPlanA,BiodivProtA,+
MesFloPreA,CompAgrD,-
IncrExtensC,CorUpkeeI,+
BiodivProtA,DistFishD,+
SpatPlanA,PopGrowI,+
RevitFloodA,CompAgrD,+
IncrInterestC,VisiPresD,+
RevitFloodA,LackRivDynD,+
PlanCycleA,PopularI,+
UpgrGravA,ShrAquHaD,+
DistFishD,ProtSpecT,-
